doc_id,ground_truth_angle,hough_estimate,hough_abs_error,hough_failed,projection_estimate,projection_abs_error,font_size,num_paragraphs,angle_bucket
doc_006,-1,-1.0,0.0,False,-1.0,0.0,20,2,küçük (1-2°)
doc_006,-2,-2.0000076293945312,7.62939453125e-06,False,-2.0,0.0,20,2,küçük (1-2°)
doc_006,-5,-5.000007629394531,7.62939453125e-06,False,-5.0,0.0,20,2,orta (5-8°)
doc_006,-8,-8.0,0.0,False,-8.0,0.0,20,2,orta (5-8°)
doc_006,-12,-12.0,0.0,False,-12.0,0.0,20,2,büyük (12°)
doc_007,12,11.999992370605469,7.62939453125e-06,False,12.0,0.0,20,5,büyük (12°)
doc_007,8,7.999992370605469,7.62939453125e-06,False,8.0,0.0,20,5,orta (5-8°)
doc_007,5,4.999992370605469,7.62939453125e-06,False,5.0,0.0,20,5,orta (5-8°)
doc_007,2,1.9999923706054688,7.62939453125e-06,False,2.0,0.0,20,5,küçük (1-2°)
doc_007,1,0.9999923706054688,7.62939453125e-06,False,1.0,0.0,20,5,küçük (1-2°)
doc_007,0,0.0,0.0,False,0.0,0.0,20,5,0 (referans)
doc_007,-1,-1.0,0.0,False,-1.0,0.0,20,5,küçük (1-2°)
doc_007,-2,-2.0000076293945312,7.62939453125e-06,False,-2.0,0.0,20,5,küçük (1-2°)
doc_007,-5,-5.000007629394531,7.62939453125e-06,False,-5.0,0.0,20,5,orta (5-8°)
doc_007,-8,-8.0,0.0,False,-8.0,0.0,20,5,orta (5-8°)
doc_007,-12,-12.0,0.0,False,-12.0,0.0,20,5,büyük (12°)
doc_008,12,11.999992370605469,7.62939453125e-06,False,12.0,0.0,20,5,büyük (12°)
doc_008,8,7.999992370605469,7.62939453125e-06,False,8.0,0.0,20,5,orta (5-8°)
doc_008,5,4.999992370605469,7.62939453125e-06,False,5.0,0.0,20,5,orta (5-8°)
doc_008,2,1.9999923706054688,7.62939453125e-06,False,2.0,0.0,20,5,küçük (1-2°)
doc_008,1,0.9999923706054688,7.62939453125e-06,False,1.0,0.0,20,5,küçük (1-2°)
doc_008,0,0.0,0.0,False,0.0,0.0,20,5,0 (referans)
doc_008,-1,-1.0,0.0,False,-1.0,0.0,20,5,küçük (1-2°)
doc_008,-2,-2.0000076293945312,7.62939453125e-06,False,-2.0,0.0,20,5,küçük (1-2°)
doc_008,-5,-5.000007629394531,7.62939453125e-06,False,-5.0,0.0,20,5,orta (5-8°)
doc_008,-8,-8.0,0.0,False,-8.0,0.0,20,5,orta (5-8°)
doc_008,-12,-12.0,0.0,False,-12.0,0.0,20,5,büyük (12°)
doc_009,12,11.999992370605469,7.62939453125e-06,False,12.0,0.0,28,2,büyük (12°)
doc_009,8,7.999992370605469,7.62939453125e-06,False,8.0,0.0,28,2,orta (5-8°)
doc_009,5,4.999992370605469,7.62939453125e-06,False,5.0,0.0,28,2,orta (5-8°)
doc_009,2,1.9999923706054688,7.62939453125e-06,False,2.0,0.0,28,2,küçük (1-2°)
doc_009,1,0.9999923706054688,7.62939453125e-06,False,1.0,0.0,28,2,küçük (1-2°)
doc_009,0,0.0,0.0,False,0.0,0.0,28,2,0 (referans)
doc_009,-1,-1.0,0.0,False,-1.0,0.0,28,2,küçük (1-2°)
doc_009,-2,-2.0000076293945312,7.62939453125e-06,False,-2.0,0.0,28,2,küçük (1-2°)
doc_009,-5,-5.000007629394531,7.62939453125e-06,False,-5.0,0.0,28,2,orta (5-8°)
doc_009,-8,-8.0,0.0,False,-8.0,0.0,28,2,orta (5-8°)
doc_009,-12,-12.0,0.0,False,-12.0,0.0,28,2,büyük (12°)
doc_010,12,11.999992370605469,7.62939453125e-06,False,12.0,0.0,28,2,büyük (12°)
doc_010,8,7.999992370605469,7.62939453125e-06,False,8.0,0.0,28,2,orta (5-8°)
doc_010,5,4.999992370605469,7.62939453125e-06,False,5.0,0.0,28,2,orta (5-8°)
doc_010,2,1.9999923706054688,7.62939453125e-06,False,2.0,0.0,28,2,küçük (1-2°)
doc_010,1,0.9999923706054688,7.62939453125e-06,False,1.0,0.0,28,2,küçük (1-2°)
doc_010,0,0.0,0.0,False,0.0,0.0,28,2,0 (referans)
doc_010,-1,-1.0,0.0,False,-1.0,0.0,28,2,küçük (1-2°)
doc_010,-2,-2.0000076293945312,7.62939453125e-06,False,-2.0,0.0,28,2,küçük (1-2°)
doc_010,-5,-5.000007629394531,7.62939453125e-06,False,-5.0,0.0,28,2,orta (5-8°)
doc_010,-8,-8.0,0.0,False,-8.0,0.0,28,2,orta (5-8°)
doc_010,-12,-12.0,0.0,False,-12.0,0.0,28,2,büyük (12°)
doc_011,12,11.999992370605469,7.62939453125e-06,False,12.0,0.0,28,5,büyük (12°)
doc_011,8,7.999992370605469,7.62939453125e-06,False,8.0,0.0,28,5,orta (5-8°)
doc_011,5,4.999992370605469,7.62939453125e-06,False,5.0,0.0,28,5,orta (5-8°)
doc_011,2,1.9999923706054688,7.62939453125e-06,False,2.0,0.0,28,5,küçük (1-2°)
doc_011,1,0.9999923706054688,7.62939453125e-06,False,1.0,0.0,28,5,küçük (1-2°)
doc_011,0,0.0,0.0,False,0.0,0.0,28,5,0 (referans)
doc_011,-1,-1.0,0.0,False,-1.0,0.0,28,5,küçük (1-2°)
doc_011,-2,-2.0000076293945312,7.62939453125e-06,False,-2.0,0.0,28,5,küçük (1-2°)
doc_011,-5,-5.000007629394531,7.62939453125e-06,False,-5.0,0.0,28,5,orta (5-8°)
doc_011,-8,-8.0,0.0,False,-8.0,0.0,28,5,orta (5-8°)
doc_011,-12,-12.0,0.0,False,-12.0,0.0,28,5,büyük (12°)
doc_012,12,11.999992370605469,7.62939453125e-06,False,12.0,0.0,28,5,büyük (12°)
doc_012,8,7.999992370605469,7.62939453125e-06,False,8.0,0.0,28,5,orta (5-8°)
doc_012,5,4.999992370605469,7.62939453125e-06,False,5.0,0.0,28,5,orta (5-8°)
doc_012,2,1.9999923706054688,7.62939453125e-06,False,2.0,0.0,28,5,küçük (1-2°)
doc_012,1,0.9999923706054688,7.62939453125e-06,False,1.0,0.0,28,5,küçük (1-2°)
doc_012,0,0.0,0.0,False,0.0,0.0,28,5,0 (referans)
doc_012,-1,-1.0,0.0,False,-1.0,0.0,28,5,küçük (1-2°)
doc_012,-2,-2.0000076293945312,7.62939453125e-06,False,-2.0,0.0,28,5,küçük (1-2°)
doc_012,-5,-5.000007629394531,7.62939453125e-06,False,-5.0,0.0,28,5,orta (5-8°)
doc_012,-8,-8.0,0.0,False,-8.0,0.0,28,5,orta (5-8°)
doc_012,-12,-12.0,0.0,False,-12.0,0.0,28,5,büyük (12°)
