doc_id,skin_tone,coverage_level,coverage_fraction,skin_occlusion_ratio,font_size,num_paragraphs
doc_006,koyu,5,1.0,1.0,20,2
doc_007,acik,0,0.0,0.0,20,5
doc_007,acik,1,0.2,0.2006161971830986,20,5
doc_007,acik,2,0.4,0.4014084507042254,20,5
doc_007,acik,3,0.6,0.6003521126760564,20,5
doc_007,acik,4,0.8,0.801531690140845,20,5
doc_007,acik,5,1.0,1.0,20,5
doc_007,orta,0,0.0,0.0,20,5
doc_007,orta,1,0.2,0.2006161971830986,20,5
doc_007,orta,2,0.4,0.4014084507042254,20,5
doc_007,orta,3,0.6,0.6003521126760564,20,5
doc_007,orta,4,0.8,0.801531690140845,20,5
doc_007,orta,5,1.0,1.0,20,5
doc_007,koyu,0,0.0,0.0,20,5
doc_007,koyu,1,0.2,0.2006161971830986,20,5
doc_007,koyu,2,0.4,0.4014084507042254,20,5
doc_007,koyu,3,0.6,0.6003521126760564,20,5
doc_007,koyu,4,0.8,0.801531690140845,20,5
doc_007,koyu,5,1.0,1.0,20,5
doc_008,acik,0,0.0,0.0,20,5
doc_008,acik,1,0.2,0.2006161971830986,20,5
doc_008,acik,2,0.4,0.4014084507042254,20,5
doc_008,acik,3,0.6,0.6003521126760564,20,5
doc_008,acik,4,0.8,0.801531690140845,20,5
doc_008,acik,5,1.0,1.0,20,5
doc_008,orta,0,0.0,0.0,20,5
doc_008,orta,1,0.2,0.2006161971830986,20,5
doc_008,orta,2,0.4,0.4014084507042254,20,5
doc_008,orta,3,0.6,0.6003521126760564,20,5
doc_008,orta,4,0.8,0.801531690140845,20,5
doc_008,orta,5,1.0,1.0,20,5
doc_008,koyu,0,0.0,0.0,20,5
doc_008,koyu,1,0.2,0.2006161971830986,20,5
doc_008,koyu,2,0.4,0.4014084507042254,20,5
doc_008,koyu,3,0.6,0.6003521126760564,20,5
doc_008,koyu,4,0.8,0.801531690140845,20,5
doc_008,koyu,5,1.0,1.0,20,5
doc_009,acik,0,0.0,0.0,28,2
doc_009,acik,1,0.2,0.2006161971830986,28,2
doc_009,acik,2,0.4,0.4014084507042254,28,2
doc_009,acik,3,0.6,0.6003521126760564,28,2
doc_009,acik,4,0.8,0.801531690140845,28,2
doc_009,acik,5,1.0,1.0,28,2
doc_009,orta,0,0.0,0.0,28,2
doc_009,orta,1,0.2,0.2006161971830986,28,2
doc_009,orta,2,0.4,0.4007482394366197,28,2
doc_009,orta,3,0.6,0.6003521126760564,28,2
doc_009,orta,4,0.8,0.801531690140845,28,2
doc_009,orta,5,1.0,1.0,28,2
doc_009,koyu,0,0.0,0.0,28,2
doc_009,koyu,1,0.2,0.2006161971830986,28,2
doc_009,koyu,2,0.4,0.4014084507042254,28,2
doc_009,koyu,3,0.6,0.6003521126760564,28,2
doc_009,koyu,4,0.8,0.801531690140845,28,2
doc_009,koyu,5,1.0,1.0,28,2
doc_010,acik,0,0.0,0.0,28,2
doc_010,acik,1,0.2,0.2006161971830986,28,2
doc_010,acik,2,0.4,0.4014084507042254,28,2
doc_010,acik,3,0.6,0.6003521126760564,28,2
doc_010,acik,4,0.8,0.801531690140845,28,2
doc_010,acik,5,1.0,1.0,28,2
doc_010,orta,0,0.0,0.0,28,2
doc_010,orta,1,0.2,0.2006161971830986,28,2
doc_010,orta,2,0.4,0.4014084507042254,28,2
