card_scheme,patch_color,textured,coverage_level,coverage_fraction,ml_occlusion_ratio
turkuaz,gri_mavi,False,2,0.4,0.40308747855917665
turkuaz,gri_mavi,False,3,0.6,0.6369353916523728
turkuaz,gri_mavi,False,4,0.8,0.8227558604917096
turkuaz,gri_mavi,False,5,1.0,1.0
turkuaz,gri_mavi,True,0,0.0,0.004002287021154946
turkuaz,gri_mavi,True,1,0.2,0.2006861063464837
turkuaz,gri_mavi,True,2,0.4,0.42252715837621496
turkuaz,gri_mavi,True,3,0.6,0.5860491709548313
turkuaz,gri_mavi,True,4,0.8,0.8061749571183533
turkuaz,gri_mavi,True,5,1.0,1.0
