doc_id,severity_level,sigma,font_size,num_paragraphs,laplacian_variance,tenengrad,gradient_magnitude_mean
doc_001,0,0.0,14,2,3920.5171657754013,25097.41726631016,35.304845593853635
doc_001,1,0.5,14,2,1617.4366139037434,16543.19087486631,29.991017180480345
doc_001,2,1.0,14,2,132.56435721925135,5063.934173262032,18.384222235676106
doc_001,3,1.5,14,2,20.74921497326203,2047.6882267379679,12.5923385284775
doc_001,4,2.0,14,2,5.41887486631016,1109.0974032085562,9.936339728036288
doc_001,5,3.0,14,2,1.3432299465240642,484.48786737967913,7.212451839713001
doc_001,6,4.0,14,2,0.6293775401069519,242.11235080213905,5.33484336694751
doc_001,7,6.0,14,2,0.5608427807486631,65.21694117647058,2.7933642631595452
doc_001,8,8.0,14,2,0.5802524064171123,24.250472727272726,1.621148580402753
doc_002,0,0.0,14,2,6948.468455614973,43880.321445989306,63.31172812769666
doc_002,1,0.5,14,2,2861.1413304812836,28661.69099893048,53.424324406397034
doc_002,2,1.0,14,2,231.5832727272727,8428.738044919786,32.042849958964325
doc_002,3,1.5,14,2,34.01176256684492,3356.0985497326205,21.737637935342665
doc_002,4,2.0,14,2,8.688789304812834,1852.2830588235295,17.194255570892278
doc_002,5,3.0,14,2,2.3076748663101605,824.6011037433155,12.415199129243817
doc_002,6,4.0,14,2,1.0918844919786097,395.33854545454545,8.888255844520867
doc_002,7,6.0,14,2,0.9115358288770053,87.80755080213903,4.182389558535187
doc_002,8,8.0,14,2,0.902136898395722,29.296119786096256,2.226077625617743
doc_003,0,0.0,14,5,11944.526273796791,74127.9569197861,107.92243128285915
doc_003,1,0.5,14,5,4902.507212834224,48205.345437433156,90.82345706923537
doc_003,2,1.0,14,5,390.6151465240642,13953.792838502673,54.08110337714653
doc_003,3,1.5,14,5,55.994340106951874,5525.852658823529,36.66337792218641
doc_003,4,2.0,14,5,14.119743315508021,3080.779401069519,29.090654870976284
doc_003,5,3.0,14,5,3.8919358288770054,1398.5558973262032,21.16768664847053
doc_003,6,4.0,14,5,1.8655550802139038,672.6326032085561,15.197932498774156
doc_003,7,6.0,14,5,1.558333689839572,147.40056470588235,7.180344607392939
doc_003,8,8.0,14,5,1.5020727272727272,47.6807614973262,3.7962914744596388
doc_004,0,0.0,14,5,12113.009281283423,74857.88085989305,109.15193442260087
doc_004,1,0.5,14,5,4962.069820320856,48686.39413048128,91.87713428952868
doc_004,2,1.0,14,5,394.50941604278074,14117.407751871659,54.77670987747143
doc_004,3,1.5,14,5,56.705901604278075,5599.250613903743,37.16562463348331
doc_004,4,2.0,14,5,14.332072727272728,3118.8615272727275,29.478664194861732
doc_004,5,3.0,14,5,3.934192513368984,1412.4095486631015,21.414017608007963
doc_004,6,4.0,14,5,1.8898160427807487,677.5770951871658,15.354965208607597
