doc_id,abs_angle,niqe
doc_001,12,4.320669209024264
doc_001,8,4.044922356952656
doc_001,5,3.902484976802951
doc_001,2,3.723197503765056
doc_001,1,3.621182294006753
doc_001,0,2.2231386058645475
doc_001,1,3.0847029106700554
doc_001,2,4.033354023734275
doc_001,5,3.806217601698571
doc_001,8,3.8326549434866126
doc_001,12,3.9414343210599916
doc_002,12,4.3920078050515885
doc_002,8,4.25521131979117
doc_002,5,3.9264407025201575
doc_002,2,3.6824062642904836
doc_002,1,3.2999830174088967
doc_002,0,1.889160209474285
doc_002,1,3.247704818331076
doc_002,2,3.4780254902851904
doc_002,5,4.052714260986744
doc_002,8,4.216745215111523
doc_002,12,3.8642044320108835
doc_003,12,4.509915246907205
doc_003,8,4.212516544018724
doc_003,5,4.092520786416937
doc_003,2,3.7052097438012335
doc_003,1,3.6574051245868104
doc_003,0,2.1079636267259625
doc_003,1,3.4875616158807894
doc_003,2,3.6270235393995334
doc_003,5,3.9921026034982505
doc_003,8,4.439213585995001
doc_003,12,3.7305882384704123
doc_004,12,4.403127329798048
doc_004,8,4.01750907686103
doc_004,5,4.246688693429161
doc_004,2,3.7363785410751875
doc_004,1,3.443596668638326
doc_004,0,2.1053533344358644
doc_004,1,3.370685160634456
doc_004,2,3.5906424753343087
doc_004,5,3.957300261668732
doc_004,8,4.127423508855899
doc_004,12,3.9447175098235387
doc_005,12,5.158919498979815
doc_005,8,5.097227709123232
doc_005,5,4.683826266877665
doc_005,2,4.409684388663333
doc_005,1,4.265109322380377
doc_005,0,1.375034028045713
doc_005,1,4.3087045989224375
doc_005,2,4.127489701264784
doc_005,5,4.519095136387905
doc_005,8,5.03922674871778
doc_005,12,5.032263216323374
doc_006,12,4.896466668026704
doc_006,8,4.942909139335953
doc_006,5,4.717184806575949
doc_006,2,4.108295703379056
doc_006,1,4.33267871247305
doc_006,0,1.539296846722522
doc_006,1,4.349863531378204
doc_006,2,4.027846434885608
doc_006,5,4.516156436289769
doc_006,8,5.012977256560851
doc_006,12,5.1266706797062085
doc_007,12,5.2534147621612135
doc_007,8,5.217220134439437
doc_007,5,4.929180443344439
doc_007,2,4.46881915461502
doc_007,1,4.349256038323819
doc_007,0,1.4248279292564514
doc_007,1,3.9256163516551332
doc_007,2,4.250439124137371
doc_007,5,4.618145503714409
doc_007,8,4.926373392852989
doc_007,12,5.497096810004141
doc_008,12,5.002635911660322
doc_008,8,5.039530651213244
doc_008,5,4.794241416868293
doc_008,2,4.293406866904701
doc_008,1,4.252010193466128
doc_008,0,1.4155337788692042
doc_008,1,4.355016693855431
doc_008,2,4.328059918802606
doc_008,5,4.637723404408287
doc_008,8,5.31301892763054
doc_008,12,5.475500094862924
doc_009,12,5.4948889626307995
doc_009,8,5.3079505297341285
doc_009,5,5.010325842040992
doc_009,2,4.281202469970479
doc_009,1,4.295751880400339
doc_009,0,1.4317218412592956
doc_009,1,4.078161670247564
doc_009,2,4.2210051094314
doc_009,5,4.698159110023112
doc_009,8,4.958199843469926
doc_009,12,5.0724951179533955
doc_010,12,5.505042884636029
doc_010,8,5.207574044046681
doc_010,5,5.037600479738061
doc_010,2,4.364600714073903
doc_010,1,4.253427078585816
doc_010,0,1.4565812684748256
doc_010,1,4.29075626131258
doc_010,2,4.424117704173501
doc_010,5,4.538653214675227
doc_010,8,5.020695011918821
doc_010,12,5.273283032736167
doc_011,12,5.487380156099712
doc_011,8,5.33844274138201
doc_011,5,5.009121148862014
doc_011,2,4.37847482585512
doc_011,1,4.196584974466473
doc_011,0,1.4287351229315972
doc_011,1,4.162757224057391
doc_011,2,4.287280663833743
doc_011,5,4.512276442143137
doc_011,8,4.772393607241501
doc_011,12,5.226282027568136
doc_012,12,5.141643087028992
doc_012,8,5.16225986535069
doc_012,5,5.003520577577577
doc_012,2,4.471048918680216
doc_012,1,4.462374285278568
doc_012,0,1.4208062533302188
doc_012,1,4.1051856966025015
doc_012,2,4.272469966875614
doc_012,5,4.635940481593969
doc_012,8,5.018681912997961
doc_012,12,5.132780934275345
