doc_id,severity_level,niqe
doc_001,0,2.2231386058645475
doc_001,1,4.165226726125685
doc_001,2,5.1323164049407035
doc_001,3,4.85925811117269
doc_001,4,4.580425904752215
doc_001,5,4.516738976709865
doc_002,0,1.889160209474285
doc_002,1,4.950790013553694
doc_002,2,4.9933710832981655
doc_002,3,4.830292714364586
doc_002,4,4.8570129041702605
doc_002,5,4.250095136500921
doc_003,0,2.1079636267259625
doc_003,1,4.738576608571814
doc_003,2,5.391770468961438
doc_003,3,4.408528457590952
doc_003,4,3.9914238545546814
doc_003,5,3.553433226773656
doc_004,0,2.1053533344358644
doc_004,1,5.080309398835656
doc_004,2,5.413634176519956
doc_004,3,4.724732199008873
doc_004,4,3.9199757674120757
doc_004,5,3.3794909641176942
doc_005,0,1.375034028045713
doc_005,1,5.276964040706351
doc_005,2,5.3631444905852135
doc_005,3,4.756585630295418
doc_005,4,4.106807970909679
doc_005,5,3.69423763403165
doc_006,0,1.539296846722522
doc_006,1,5.268222900011508
doc_006,2,5.138983734120764
doc_006,3,4.392377113055928
doc_006,4,3.8095713115544125
doc_006,5,3.4154579600857717
doc_007,0,1.4248279292564514
doc_007,1,5.262599720668873
doc_007,2,5.087684883422922
doc_007,3,4.412506408184522
doc_007,4,3.7618591715812024
doc_007,5,3.2730781475522543
doc_008,0,1.4155337788692042
doc_008,1,5.293605218849222
doc_008,2,5.193937591958459
doc_008,3,4.430829378421552
doc_008,4,3.9025999125365036
doc_008,5,3.4160090049517664
doc_009,0,1.4317218412592956
doc_009,1,5.657917127751615
doc_009,2,5.543998577576854
doc_009,3,4.735646098102048
doc_009,4,4.153804240637817
doc_009,5,3.6517515856303824
doc_010,0,1.4565812684748256
doc_010,1,5.573007676561169
doc_010,2,5.481098078918921
doc_010,3,4.656431100381623
doc_010,4,4.072293785467324
doc_010,5,3.618569897039635
doc_011,0,1.4287351229315972
doc_011,1,5.559447493442622
doc_011,2,5.444355673788054
doc_011,3,4.647613758525102
doc_011,4,3.996654866790213
doc_011,5,3.5914312260945467
doc_012,0,1.4208062533302188
doc_012,1,5.712170582724534
doc_012,2,5.604305304439044
doc_012,3,4.785965796309058
doc_012,4,4.204531909150549
doc_012,5,3.722921521242372
