doc_id,severity_level,target_area_fraction,ground_truth_glare_fraction,naive_glare_ratio,oracle_text_washout_ratio,font_size,num_paragraphs
doc_001,0,0.0,0.0,0.8721353930031803,0.0,14,2
doc_001,1,0.03,0.0299363925488414,0.8738391640163562,0.0058961760307626575,14,2
doc_001,2,0.06,0.0598864152657882,0.8750931394820536,0.013544114505447555,14,2
doc_001,3,0.1,0.0999954566106315,0.8769513857337574,0.02153386028626362,14,2
doc_001,4,0.15,0.1500090867787369,0.8787687414811449,0.030378124332407604,14,2
doc_001,5,0.22,0.2200318037255793,0.8814084507042254,0.04217047639393292,14,2
doc_002,0,0.0,0.0,0.8455063715627096,0.0,14,2
doc_002,1,0.03,0.0299524419242729,0.8477287970245717,0.006343345404624961,14,2
doc_002,2,0.06,0.0599750015242973,0.8497012377294068,0.013136405595398708,14,2
doc_002,3,0.1,0.1000945064325346,0.8522102310834705,0.021302279343889795,14,2
doc_002,4,0.15,0.1499329309188464,0.8551002987622706,0.03211910341073162,14,2
doc_002,5,0.22,0.2200140235351503,0.8588622644960673,0.04684134535728656,14,2
doc_003,0,0.0,0.0,0.8344766713488478,0.0,14,5
doc_003,1,0.03,0.0299779810941118,0.835997114764056,0.005060210980381313,14,5
doc_003,2,0.06,0.0600299912683649,0.8377377472381459,0.009995990543212267,14,5
doc_003,3,0.1,0.1000436581754679,0.8400269541778975,0.01614843285542452,14,5
doc_003,4,0.15,0.1499886109107475,0.8427527428723283,0.02376640075211879,14,5
doc_003,5,0.22,0.2200315098135985,0.8466345241258874,0.033665611303903,14,5
doc_004,0,0.0,0.0,0.8369417556587885,0.0,14,5
doc_004,1,0.03,0.0299624289759582,0.8385723010864133,0.004046977755294568,14,5
doc_004,2,0.06,0.0599970387370213,0.8404193888693527,0.010390888831161729,14,5
doc_004,3,0.1,0.1000407173659565,0.8427846976735578,0.017144966571416852,14,5
doc_004,4,0.15,0.1500120301308508,0.845664525920305,0.026961622072435434,14,5
doc_004,5,0.22,0.2200014806314893,0.8495919009457533,0.04008695533285025,14,5
doc_005,0,0.0,0.0,0.846510713215463,0.0,20,2
doc_005,1,0.03,0.0300063679952052,0.8484641893916691,0.003825736231798096,20,2
doc_005,2,0.06,0.059943437219059,0.8501929127959245,0.008318752038909813,20,2
doc_005,3,0.1,0.1000318399760263,0.8528412496254121,0.013790444556481509,20,2
doc_005,4,0.15,0.149949430626311,0.8559559484566976,0.02070049526972923,20,2
doc_005,5,0.22,0.2200722954749775,0.860125112376386,0.031243512559684453,20,2
doc_006,0,0.0,0.0,0.8393624907338769,0.0,20,2
doc_006,1,0.03,0.0300441404407305,0.8412072915964688,0.0044411547002220575,20,2
doc_006,2,0.06,0.0600124671473819,0.8430318754633062,0.008703642257331733,20,2
doc_006,3,0.1,0.1000488577397398,0.8454562302041917,0.013514893182572296,20,2
doc_006,4,0.15,0.150058966237617,0.8487179055192399,0.020278720743255315,20,2
doc_006,5,0.22,0.2199558595592695,0.8525507109643506,0.028344266060899972,20,2
doc_007,0,0.0,0.0,0.8441446596244131,0.0,20,5
doc_007,1,0.03,0.030019072769953,0.84606220657277,0.004777655273796398,20,5
doc_007,2,0.06,0.0600132042253521,0.8479401408450704,0.009394524072032341,20,5
doc_007,3,0.1,0.1000308098591549,0.8506132629107981,0.015125413450937155,20,5
doc_007,4,0.15,0.1500308098591549,0.8536355633802817,0.02210814038956266,20,5
doc_007,5,0.22,0.2199662558685446,0.8575616197183099,0.031950569643513414,20,5
doc_008,0,0.0,0.0,0.8388380281690141,0.0,20,5
doc_008,1,0.03,0.030019072769953,0.8407526408450704,0.004296645737129442,20,5
doc_008,2,0.06,0.0600132042253521,0.8426716549295775,0.008814768058647,20,5
doc_008,3,0.1,0.1000308098591549,0.8451408450704225,0.014551011594299192,20,5
doc_008,4,0.15,0.1500308098591549,0.8480531103286385,0.021394638051891963,20,5
doc_008,5,0.22,0.2199662558685446,0.8522329812206573,0.031416453495454195,20,5
doc_009,0,0.0,0.0,0.8606866197183098,0.0,28,2
doc_009,1,0.03,0.030019072769953,0.8617899061032864,0.004603879411077354,28,2
doc_009,2,0.06,0.0600132042253521,0.8627362089201878,0.007081093713484459,28,2
doc_009,3,0.1,0.1000308098591549,0.8640933098591549,0.01063332554335125,28,2
doc_009,4,0.15,0.1500308098591549,0.8658318661971831,0.016510867025005843,28,2
doc_009,5,0.22,0.2199662558685446,0.8686913145539906,0.025858845524655293,28,2
doc_010,0,0.0,0.0,0.8511428990610329,0.0,28,2
doc_010,1,0.03,0.030019072769953,0.852549882629108,0.004461893461357597,28,2
doc_010,2,0.06,0.0600132042253521,0.8537588028169014,0.008059841865246444,28,2
doc_010,3,0.1,0.1000308098591549,0.8556205985915493,0.014162137334456098,28,2
doc_010,4,0.15,0.1500308098591549,0.8581528755868545,0.023151540337485375,28,2
doc_010,5,0.22,0.2199662558685446,0.8611414319248827,0.033737601294823984,28,2
