doc_id,severity_level,darkening_factor,global_mean,darkest_block_mean,p5,p25,p50,p75,p95
doc_011,1,0.85,198.1751037433155,44.26171875,0.0,216.0,216.0,216.0,216.0
doc_011,2,0.7,163.30591229946523,36.46875,0.0,178.0,178.0,178.0,178.0
doc_011,3,0.55,128.42938930481284,28.64453125,0.0,140.0,140.0,140.0,140.0
doc_011,4,0.4,93.56221711229946,20.86328125,0.0,102.0,102.0,102.0,102.0
doc_011,5,0.25,57.796828877005346,12.90625,0.0,63.0,63.0,63.0,63.0
doc_012,0,1.0,234.40452727272728,52.2578125,0.0,255.0,255.0,255.0,255.0
doc_012,1,0.85,198.547271657754,44.26171875,0.0,216.0,216.0,216.0,216.0
doc_012,2,0.7,163.6126117647059,36.46875,0.0,178.0,178.0,178.0,178.0
doc_012,3,0.55,128.6708,28.64453125,0.0,140.0,140.0,140.0,140.0
doc_012,4,0.4,93.73818823529412,20.86328125,0.0,102.0,102.0,102.0,102.0
doc_012,5,0.25,57.9056320855615,12.90625,0.0,63.0,63.0,63.0,63.0
