doc_id,global_mean_spearman_rho,p5_spearman_rho,p25_spearman_rho,p50_spearman_rho,darkest_block_mean_spearman_rho
doc_001,-1.0,-1.0,-1.0,-1.0,-1.0
doc_002,-1.0,-1.0,-1.0,-1.0,-1.0
doc_003,-1.0,-1.0,-1.0,-1.0,-1.0
doc_004,-1.0,-1.0,-1.0,-1.0,-1.0
doc_005,-1.0,-1.0,-1.0,-1.0,-1.0
doc_006,-1.0,-1.0,-1.0,-1.0,-1.0
doc_007,-1.0,-1.0,-1.0,-1.0,-1.0
doc_008,-1.0,-1.0,-1.0,-1.0,-1.0
doc_009,-1.0,,-1.0,-1.0,-1.0
doc_010,-1.0,,-1.0,-1.0,-1.0
doc_011,-1.0,,-1.0,-1.0,-1.0
doc_012,-1.0,,-1.0,-1.0,-1.0
